site,context,date,call type,syntax,dB,length,position,duration,break,disttomax,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),hnr(max),row_id,num.cach,coder,min,:,sec,comment,quality,context_comment,start time,end time,length-position,Location
AR1,easo,20190215,ed,1e8d,-32,9,4,0.111,0.063,0.018,4649,4134,4823,689,0.471,12.71,1,3,"HJ-calltype, HEP-rest",1,:,5.02,,,,65.023,65.134,5,UTFRREC
AR1,easo,20190215,ed,1e8d,-32,9,5,0.098,0.043,0.008,4571,4435,4780,344,0.455,8.32,2,3,"HJ-calltype, HEP-rest",1,:,5.18,,,,65.178,65.277,4,UTFRREC
AR1,easo,20190215,ed,1e8d,-32,9,6,0.111,0.058,0.014,4577,4091,6029,1938,0.571,8.6,3,3,"HJ-calltype, HEP-rest",1,:,5.33,,,,65.335,65.446,3,UTFRREC
AR1,easo,20190215,ed,1e8d,-32,9,7,0.1,0.052,0.068,4464,4349,7106,2756,0.528,12.45,4,3,"HJ-calltype, HEP-rest",1,:,5.5,,,,65.499,65.599,2,UTFRREC
AR1,easo,20190215,ed,1e8d,-32,9,8,0.108,0.078,0.031,4653,4134,6201,2067,0.526,12.43,5,3,"HJ-calltype, HEP-rest",1,:,5.68,,,,65.677,65.786,1,UTFRREC
AR1,easo,20190215,ed,1e8d,-32,9,9,0.111,0.055,0.017,4656,3703,6632,2928,0.581,13.2,6,3,"HJ-calltype, HEP-rest",1,:,5.84,,,,65.841,65.953,0,UTFRREC
AR1,easo,20190215,id,1i9d,-32,10,3,0.094,0.04,0.017,4458,4005,4651,646,0.548,10.75,7,3,"HJ-calltype, HEP-rest",1,:,32.89,,,,92.887,92.981,7,UTFRREC
AR1,easo,20190215,id,1i9d,-32,10,6,0.101,0.056,0.069,4785,4220,5684,1464,0.532,9.86,8,3,"HJ-calltype, HEP-rest",1,:,33.34,,,,93.342,93.444,4,UTFRREC
AR1,easo,20190215,id,1i9d,-32,10,7,0.107,0.058,0.044,4829,4263,5814,1550,0.496,11.6,9,3,"HJ-calltype, HEP-rest",1,:,33.5,,,,93.502,93.609,3,UTFRREC
AR1,easo,20190215,id,1i9d,-32,10,8,0.108,0.05,0.04,4796,4220,5641,1421,0.598,8.36,10,3,"HJ-calltype, HEP-rest",1,:,33.66,,,,93.66,93.769,2,UTFRREC
AR1,easo,20190215,id,1i9d,-32,10,9,0.105,0.105,0.068,4832,4177,6761,2584,0.583,10.6,11,3,"HJ-calltype, HEP-rest",1,:,33.88,,,,93.875,93.981,1,UTFRREC
AR1,easo,20190215,id,1i9d,-32,10,10,0.104,0.049,0.042,5594,3703,6761,3057,0.605,9.88,12,3,"HJ-calltype, HEP-rest",1,:,34.03,,,,94.03,94.135,0,UTFRREC
AR1,easo,20190215,overlap,overlap,-33,overlap,overlap,0.094,.,0.062,4780,4130,5420,1290,0.481,9.44,13,3,,1,:,41.48,,,,101.477,101.571,#VALUE!,UTFRREC
AR1,easo,20190215,overlap,overlap,-33,overlap,overlap,0.1,0.042,0.044,4690,3530,5510,1980,0.525,10.58,14,3,,1,:,41.61,,,,101.613,101.713,#VALUE!,UTFRREC
AR1,easo,20190215,overlap,overlap,-33,overlap,overlap,0.103,0.034,0.046,4600,3610,5250,1630,0.537,12.04,15,3,,1,:,41.75,,,,101.748,101.851,#VALUE!,UTFRREC
AR1,easo,20190215,overlap,overlap,-33,overlap,overlap,0.095,0.056,0.053,4650,3570,5550,1980,0.536,11.07,16,3,,1,:,41.91,,,,101.908,102.003,#VALUE!,UTFRREC
AR1,easo,20190215,overlap,overlap,-33,overlap,overlap,0.097,0.042,0.02,4340,3400,5250,1850,0.547,9.7,17,3,,1,:,42.05,,,,102.045,102.143,#VALUE!,UTFRREC
AR1,easo,20190215,id,1i11d,-30,12,3,0.087,0.044,0.018,4576,4048,5168,1119,0.506,10.06,18,3,"HJ-calltype, HEP-rest",1,:,45.19,,,,105.19,105.277,9,UTFRREC
AR1,easo,20190215,id,1i11d,-30,12,4,0.094,0.058,0.015,4407,3919,4608,689,0.539,9.18,19,3,"HJ-calltype, HEP-rest",1,:,45.34,,,,105.335,105.43,8,UTFRREC
AR1,easo,20190215,id,1i11d,-30,12,5,0.103,0.044,0.018,4436,3919,5038,1119,0.57,11.62,20,3,"HJ-calltype, HEP-rest",1,:,45.48,,,,105.475,105.578,7,UTFRREC
AR1,easo,20190215,id,1i11d,-30,12,6,0.103,0.053,0.056,4774,3789,5383,1593,0.531,15.03,21,3,"HJ-calltype, HEP-rest",1,:,45.63,,,,105.631,105.734,6,UTFRREC
